,Name,Performance Year,Basic EPS Based On Continuous operations,Basic EPS Based On Including Extra-Ordinary Income,Basic EPS (restated) Based On Continuous operations,Basic EPS (restated) Based On Including Extra-Ordinary Income,Net Asset Value Per Share,Restated Net Asset Value Per Share,Net Profit After Tax Continuous operations (mn),Net Profit After Tax Including Extra-Ordinary Income (mn),% Dividend,% Dividend Yield,% Cash Dividend,% Bonus Dividend,EPS,NAV,Price,Price Vs EPS Correlation,Price Vs NAV Correlation,Efficient(EPS),Efficient(NAV)
14,ADN TELECOM LIMITED,2024,2.31,0,0.0,0,31.35,0.0,149.47,0,10%C,1.08,10.0,0.0,2.31,31.35,92.59259259259258,0.6199075296639582,0.8930642993400469,Yes,Yes
15,ADVANCED CHEMICAL INDUSTRIES PLC.,2020,-18.45,0,0.0,0,137.67,0.0,-1058.76,0,"80%C,10%B",3.92,80.0,10.0,-16.605,123.90299999999999,183.67346938775512,0.6886631763887165,0.7719834524184602,Yes,Yes
16,ADVANCED CHEMICAL INDUSTRIES PLC.,2021,5.5,0,0.0,0,162.65,0.0,347.17,0,"65%C,15%B",2.46,65.0,15.0,4.675,138.2525,224.59349593495932,0.6886631763887165,0.7719834524184602,Yes,Yes
17,ADVANCED CHEMICAL INDUSTRIES PLC.,2022,12.3,0,0.0,0,141.98,0.0,893.0,0,"50%C,5%B",1.9,50.0,5.0,11.685,134.881,250.00000000000003,0.6886631763887165,0.7719834524184602,Yes,Yes
18,ADVANCED CHEMICAL INDUSTRIES PLC.,2023,-6.48,0,0.0,0,113.67,0.0,-493.96,0,40%C,1.53,40.0,0.0,-6.48,113.67,261.437908496732,0.6886631763887165,0.7719834524184602,Yes,Yes
19,ADVANCED CHEMICAL INDUSTRIES PLC.,2024,-18.25,0,0.0,0,91.17,0.0,-1394.67,0,"20%C,15%B",1.54,20.0,15.0,-15.5125,77.4945,110.38961038961038,0.6886631763887165,0.7719834524184602,Yes,Yes
20,AFTAB AUTOMOBILES LIMITED,2020,0.09,0,0.0,0,60.2,0.0,8.41,0,10%C,4.24,10.0,0.0,0.09,60.2,23.584905660377355,0.38265622990702525,-0.22313793999229997,Yes,No
21,AFTAB AUTOMOBILES LIMITED,2021,-1.94,0,0.0,0,57.89,0.0,-185.51,0,"5%C,5%B",3.58,5.0,5.0,-1.843,54.9955,13.268156424581004,0.38265622990702525,-0.22313793999229997,Yes,No
22,AFTAB AUTOMOBILES LIMITED,2022,0.01,0,0.0,0,54.88,0.0,1.09,0,"5%C, 5%B",0.02,5.0,5.0,0.0095,52.136,2375.0,0.38265622990702525,-0.22313793999229997,Yes,No
23,AFTAB AUTOMOBILES LIMITED,2023,0.04,0,0.0,0,51.76,0.0,4.12,0,10%C,3.76,10.0,0.0,0.04,51.76,26.595744680851062,0.38265622990702525,-0.22313793999229997,Yes,No
24,AFTAB AUTOMOBILES LIMITED,2024,-1.41,0,0.0,0,49.64,0.0,-148.3,0,10%C,3.36,10.0,0.0,-1.41,49.64,29.761904761904763,0.38265622990702525,-0.22313793999229997,Yes,No
25,AGNI SYSTEMS PLC.,2020,0.31,0,0.0,0,14.05,0.0,22.19,0,2%C,1.49,2.0,0.0,0.31,14.05,13.422818791946309,0.9493491447107766,0.8571701856330938,Yes,Yes
26,AGNI SYSTEMS PLC.,2021,0.77,0,0.0,0,14.62,0.0,55.86,0,3.5%C,1.76,3.5,0.0,0.77,14.62,19.886363636363637,0.9493491447107766,0.8571701856330938,Yes,Yes
27,AGNI SYSTEMS PLC.,2022,1.01,0,0.0,0,15.27,0.0,72.96,0,4.5%C,1.93,4.5,0.0,1.01,15.27,23.316062176165804,0.9493491447107766,0.8571701856330938,Yes,Yes
28,AGNI SYSTEMS PLC.,2023,1.13,0,0.0,0,15.95,0.0,81.8,0,4.75%C,1.6,4.75,0.0,1.13,15.95,29.687499999999993,0.9493491447107766,0.8571701856330938,Yes,Yes
29,AGNI SYSTEMS PLC.,2024,1.15,0,0.0,0,16.62,0.0,83.31,0,4.8%C,1.9,4.8,0.0,1.15,16.62,25.263157894736842,0.9493491447107766,0.8571701856330938,Yes,Yes
30,AGRICULTURAL MARKETING COMPANY LTD.,2020,5.7,0,0.0,0,81.99,0.0,45.58,0,32%C,1.78,32.0,0.0,5.7,81.99,179.77528089887642,-0.09630507886152982,0.6190479744481227,No,Yes
31,AGRICULTURAL MARKETING COMPANY LTD.,2021,5.37,0,0.0,0,84.17,0.0,42.99,0,32%C,1.67,32.0,0.0,5.37,84.17,191.6167664670659,-0.09630507886152982,0.6190479744481227,No,Yes
32,AGRICULTURAL MARKETING COMPANY LTD.,2022,5.62,0,0.0,0,86.59,0.0,44.93,0,32%C,1.16,32.0,0.0,5.62,86.59,275.86206896551727,-0.09630507886152982,0.6190479744481227,No,Yes
33,AGRICULTURAL MARKETING COMPANY LTD.,2023,5.42,0,0.0,0,88.59,0.0,43.35,0,32%C,1.2,32.0,0.0,5.42,88.59,266.6666666666667,-0.09630507886152982,0.6190479744481227,No,Yes
34,AGRICULTURAL MARKETING COMPANY LTD.,2024,5.51,0,0.0,0,90.9,0.0,44.11,0,32%C,1.42,32.0,0.0,5.51,90.9,225.35211267605635,-0.09630507886152982,0.6190479744481227,No,Yes
35,AMAN COTTON FIBROUS LIMITED,2020,0.48,0,0.0,0,39.68,0.0,48.74,0,10%C,5.38,10.0,0.0,0.48,39.68,18.58736059479554,0.5799548680630693,-0.29087389826950605,Yes,No
36,AMAN COTTON FIBROUS LIMITED,2021,1.25,0,0.0,0,34.72,0.0,125.92,0,11%C,2.41,11.0,0.0,1.25,34.72,45.643153526970956,0.5799548680630693,-0.29087389826950605,Yes,No
37,AMAN COTTON FIBROUS LIMITED,2022,0.76,0,0.0,0,35.14,0.0,76.41,0,10%C,3.61,10.0,0.0,0.76,35.14,27.70083102493075,0.5799548680630693,-0.29087389826950605,Yes,No
38,AMAN COTTON FIBROUS LIMITED,2023,-0.94,0,0.0,0,34.5,0.0,-95.21,0,10%C,3.79,10.0,0.0,-0.94,34.5,26.385224274406333,0.5799548680630693,-0.29087389826950605,Yes,No
39,AMAN COTTON FIBROUS LIMITED,2024,-0.25,0,0.0,0,33.74,0.0,-25.23,0,10%C,5.95,10.0,0.0,-0.25,33.74,16.806722689075627,0.5799548680630693,-0.29087389826950605,Yes,No
40,AMAN FEED LIMITED,2020,2.71,0,0.0,0,34.8,0.0,346.27,0,"10%C,2.5%B",3.73,10.0,2.5,2.6422499999999998,33.93,26.13941018766756,0.4304307119611151,0.2604726170260709,Yes,Yes
41,AMAN FEED LIMITED,2021,2.53,0,0.0,0,32.23,0.0,331.49,0,15%C,2.81,15.0,0.0,2.53,32.23,53.380782918149464,0.4304307119611151,0.2604726170260709,Yes,Yes
42,AMAN FEED LIMITED,2022,0.84,0,0.0,0,32.52,0.0,110.28,0,10%C,2.85,10.0,0.0,0.84,32.52,35.08771929824561,0.4304307119611151,0.2604726170260709,Yes,Yes
43,AMAN FEED LIMITED,2023,0.22,0,0.0,0,28.37,0.0,28.52,0,10%C,2.97,10.0,0.0,0.22,28.37,33.67003367003367,0.4304307119611151,0.2604726170260709,Yes,Yes
44,AMAN FEED LIMITED,2024,0.19,0,0.0,0,28.17,0.0,24.47,0,10%C,4.17,10.0,0.0,0.19,28.17,23.980815347721823,0.4304307119611151,0.2604726170260709,Yes,Yes
45,ANWAR GALVANIZING LIMITED,2020,2.03,0,0.0,0,10.85,0.0,29.49,0,"10%C,5%B",1.48,10.0,5.0,1.9284999999999999,10.3075,64.18918918918918,0.3216458834300788,0.7273178404041447,Yes,Yes
46,ANWAR GALVANIZING LIMITED,2021,3.92,0,0.0,0,13.31,0.0,59.73,0,"20%C,10%B",0.96,20.0,10.0,3.528,11.979000000000001,187.5,0.3216458834300788,0.7273178404041447,Yes,Yes
47,ANWAR GALVANIZING LIMITED,2022,11.54,0,0.0,0,21.81,0.0,193.48,0,"20%C,80%B",0.99,20.0,80.0,2.308,4.361999999999998,40.404040404040394,0.3216458834300788,0.7273178404041447,Yes,Yes
48,ANWAR GALVANIZING LIMITED,2023,1.97,0,0.0,0,12.98,0.0,59.52,0,10%C,0.45,10.0,0.0,1.97,12.98,222.22222222222223,0.3216458834300788,0.7273178404041447,Yes,Yes
49,ANWAR GALVANIZING LIMITED,2024,2.72,0,0.0,0,14.7,0.0,82.12,0,10%C,0.74,10.0,0.0,2.72,14.7,135.13513513513513,0.3216458834300788,0.7273178404041447,Yes,Yes
50,APEX FOODS LIMITED,2020,1.88,0,0.0,0,120.63,0.0,10.74,0,15%C,1.25,15.0,0.0,1.88,120.63,120.0,0.9551677891376299,0.9736919530008105,Yes,Yes
51,APEX FOODS LIMITED,2021,2.07,0,0.0,0,119.39,0.0,11.81,0,20%C,1.61,20.0,0.0,2.07,119.39,124.22360248447204,0.9551677891376299,0.9736919530008105,Yes,Yes
52,APEX FOODS LIMITED,2022,5.14,0,0.0,0,126.18,0.0,29.32,0,20%C,1.1,20.0,0.0,5.14,126.18,181.8181818181818,0.9551677891376299,0.9736919530008105,Yes,Yes
53,APEX FOODS LIMITED,2023,8.91,0,0.0,0,136.2,0.0,50.83,0,20%C,0.47,20.0,0.0,8.91,136.2,425.531914893617,0.9551677891376299,0.9736919530008105,Yes,Yes
54,APEX FOODS LIMITED,2024,5.66,0,0.0,0,127.82,0.0,32.25,0,20%C,0.88,20.0,0.0,5.66,127.82,227.27272727272728,0.9551677891376299,0.9736919530008105,Yes,Yes
55,APEX FOOTWEAR LIMITED,2020,5.62,0,0.0,0,249.95,0.0,63.23,0,25%C,1.14,25.0,0.0,5.62,249.95,219.2982456140351,0.5260610707832591,-0.5781903999547723,Yes,No
56,APEX FOOTWEAR LIMITED,2021,9.36,0,0.0,0,256.81,0.0,105.31,0,"35%C,5%B",1.49,35.0,5.0,8.892,243.9695,223.15436241610738,0.5260610707832591,-0.5781903999547723,Yes,No
57,APEX FOOTWEAR LIMITED,2022,11.7,0,0.0,0,252.95,0.0,138.23,0,"35%C,10%B",1.29,35.0,10.0,10.53,227.65499999999997,244.1860465116279,0.5260610707832591,-0.5781903999547723,Yes,No
58,APEX FOOTWEAR LIMITED,2023,12.86,0,0.0,0,239.64,0.0,167.14,0,"35%C,10%B",1.12,35.0,10.0,11.574,215.676,281.24999999999994,0.5260610707832591,-0.5781903999547723,Yes,No
59,APEX FOOTWEAR LIMITED,2024,12.34,0,0.0,0,474.37,0.0,176.43,0,"35%C,10%B",1.47,35.0,10.0,11.106,426.933,214.2857142857143,0.5260610707832591,-0.5781903999547723,Yes,No
60,APEX SPINNING & KNITTING MILLS LIMITED,2020,1.48,0,0.0,0,54.17,0.0,12.43,0,15%C,1.15,15.0,0.0,1.48,54.17,130.43478260869566,-0.19439588435441216,-0.07327505364561053,No,No
61,APEX SPINNING & KNITTING MILLS LIMITED,2021,2.93,0,0.0,0,55.81,0.0,24.64,0,20%C,1.61,20.0,0.0,2.93,55.81,124.22360248447204,-0.19439588435441216,-0.07327505364561053,No,No
62,APEX SPINNING & KNITTING MILLS LIMITED,2022,3.45,0,0.0,0,58.38,0.0,28.97,0,20%C,1.52,20.0,0.0,3.45,58.38,131.57894736842107,-0.19439588435441216,-0.07327505364561053,No,No
63,APEX SPINNING & KNITTING MILLS LIMITED,2023,3.51,0,0.0,0,64.37,0.0,29.48,0,20%C,1.4,20.0,0.0,3.51,64.37,142.85714285714286,-0.19439588435441216,-0.07327505364561053,No,No
64,APEX SPINNING & KNITTING MILLS LIMITED,2024,3.65,0,0.0,0,63.01,0.0,30.62,0,20%C,1.93,20.0,0.0,3.65,63.01,103.62694300518136,-0.19439588435441216,-0.07327505364561053,No,No
65,APEX TANNERY LIMITED,2020,-1.19,0,0.0,0,53.89,0.0,-18.17,0,12%C,1.12,12.0,0.0,-1.19,53.89,107.14285714285714,0.5239403410570883,0.7398694003439519,Yes,Yes
66,APEX TANNERY LIMITED,2021,0.34,0,0.0,0,63.17,0.0,5.22,0,10%C,0.92,10.0,0.0,0.34,63.17,108.69565217391303,0.5239403410570883,0.7398694003439519,Yes,Yes
67,APEX TANNERY LIMITED,2022,0.82,0,0.0,0,63.39,0.0,12.51,0,10%C,0.66,10.0,0.0,0.82,63.39,151.5151515151515,0.5239403410570883,0.7398694003439519,Yes,Yes
68,APEX TANNERY LIMITED,2023,-8.17,0,0.0,0,54.85,0.0,-124.47,0,5%C,0.42,5.0,0.0,-8.17,54.85,119.04761904761905,0.5239403410570883,0.7398694003439519,Yes,Yes
69,APEX TANNERY LIMITED,2024,-8.31,0,0.0,0,45.43,0.0,-126.64,0,5%C,0.56,5.0,0.0,-8.31,45.43,89.28571428571428,0.5239403410570883,0.7398694003439519,Yes,Yes
70,ARAMIT LIMITED,2020,3.36,0,0.0,0,137.66,0.0,20.15,0,50%C,2.41,50.0,0.0,3.36,137.66,207.46887966804977,0.7853258272138351,0.846551067177375,Yes,Yes
71,ARAMIT LIMITED,2021,7.69,0,0.0,0,181.42,0.0,46.14,0,50%C,1.64,50.0,0.0,7.69,181.42,304.8780487804878,0.7853258272138351,0.846551067177375,Yes,Yes
72,ARAMIT LIMITED,2022,8.25,0,0.0,0,152.28,0.0,49.52,0,50%C,1.81,50.0,0.0,8.25,152.28,276.24309392265195,0.7853258272138351,0.846551067177375,Yes,Yes
73,ARAMIT LIMITED,2023,4.01,0,0.0,0,144.99,0.0,24.07,0,25%C,0.91,25.0,0.0,4.01,144.99,274.72527472527474,0.7853258272138351,0.846551067177375,Yes,Yes
74,ARAMIT LIMITED,2024,2.09,0,0.0,0,136.1,0.0,12.51,0,20%C,0.88,20.0,0.0,2.09,136.1,227.27272727272728,0.7853258272138351,0.846551067177375,Yes,Yes
75,ARGON DENIMS LIMITED,2020,1.53,0,0.0,0,27.21,0.0,192.48,0,"5%C,5%B",2.6,5.0,5.0,1.4535,25.8495,18.269230769230766,-0.23724422068192405,0.2548477958351836,No,Yes
76,ARGON DENIMS LIMITED,2021,0.71,0,0.0,0,26.15,0.0,93.97,0,"10%C,5%B",3.69,10.0,5.0,0.6745,24.842499999999998,25.745257452574528,-0.23724422068192405,0.2548477958351836,No,Yes
77,ARGON DENIMS LIMITED,2022,0.52,0,0.0,0,24.44,0.0,71.62,0,10%C,5.18,10.0,0.0,0.52,24.44,19.305019305019304,-0.23724422068192405,0.2548477958351836,No,Yes
78,ARGON DENIMS LIMITED,2023,0.68,0,0.0,0,24.13,0.0,94.55,0,10%C,5.32,10.0,0.0,0.68,24.13,18.796992481203006,-0.23724422068192405,0.2548477958351836,No,Yes
79,ARGON DENIMS LIMITED,2024,0.75,0,0.0,0,23.89,0.0,104.7,0,10%C,6.29,10.0,0.0,0.75,23.89,15.89825119236884,-0.23724422068192405,0.2548477958351836,No,Yes
80,BANGAS LIMITED,2020,0.6,0,0.0,0,21.29,0.0,4.6,0,5%C,0.43,5.0,0.0,0.6,21.29,116.27906976744187,-0.3465682882863008,-0.5453369528101699,No,No
81,BANGAS LIMITED,2021,0.23,0,0.0,0,21.02,0.0,1.74,0,4%C,0.34,4.0,0.0,0.23,21.02,117.64705882352942,-0.3465682882863008,-0.5453369528101699,No,No
82,BANGAS LIMITED,2022,0.26,0,0.0,0,20.88,0.0,1.96,0,3%C,0.22,3.0,0.0,0.26,20.88,136.36363636363635,-0.3465682882863008,-0.5453369528101699,No,No
83,BANGAS LIMITED,2023,0.29,0,0.0,0,20.96,0.0,2.21,0,3%C,0.19,3.0,0.0,0.29,20.96,157.89473684210526,-0.3465682882863008,-0.5453369528101699,No,No
84,BANGAS LIMITED,2024,0.31,0,0.0,0,21.01,0.0,2.36,0,4%C,0.34,4.0,0.0,0.31,21.01,117.64705882352942,-0.3465682882863008,-0.5453369528101699,No,No
85,BANGLADESH GENERAL INSURANCE COMPANY PLC.,2020,1.25,0,0.0,0,19.38,0.0,67.77,0,12%C,2.82,12.0,0.0,1.25,19.38,42.5531914893617,0.42989195544296877,0.22122408380147007,Yes,Yes
86,BANGLADESH GENERAL INSURANCE COMPANY PLC.,2021,1.92,0,0.0,0,19.63,0.0,103.64,0,12.5%C,2.31,12.5,0.0,1.92,19.63,54.112554112554115,0.42989195544296877,0.22122408380147007,Yes,Yes
87,BANGLADESH GENERAL INSURANCE COMPANY PLC.,2022,1.53,0,0.0,0,19.17,0.0,82.44,0,12%C,2.03,12.0,0.0,1.53,19.17,59.11330049261084,0.42989195544296877,0.22122408380147007,Yes,Yes
88,BANGLADESH GENERAL INSURANCE COMPANY PLC.,2023,1.27,0,0.0,0,19.55,0.0,68.41,0,10%C,1.92,10.0,0.0,1.27,19.55,52.083333333333336,0.42989195544296877,0.22122408380147007,Yes,Yes
89,BANGLADESH GENERAL INSURANCE COMPANY PLC.,2024,1.4,0,0.0,0,19.25,0.0,75.43,0,10%C,2.99,10.0,0.0,1.4,19.25,33.44481605351171,0.42989195544296877,0.22122408380147007,Yes,Yes
90,BANGLADESH LAMPS PLC.,2020,-9.88,0,0.0,0,59.98,0.0,-92.54,0,10%C,0.89,10.0,0.0,-9.88,59.98,112.35955056179776,0.8036480404042851,0.6925469977927955,Yes,Yes
91,BANGLADESH LAMPS PLC.,2021,5.1,0,0.0,0,95.16,0.0,47.76,0,20%C,1.16,20.0,0.0,5.1,95.16,172.41379310344828,0.8036480404042851,0.6925469977927955,Yes,Yes
92,BANGLADESH LAMPS PLC.,2022,8.78,0,0.0,0,90.99,0.0,82.27,0,"20%C,7%B",0.75,20.0,7.0,8.1654,84.6207,247.99999999999994,0.8036480404042851,0.6925469977927955,Yes,Yes
93,BANGLADESH LAMPS PLC.,2023,1.1,0,0.0,0,82.91,0.0,10.99,0,10%C,0.39,10.0,0.0,1.1,82.91,256.4102564102564,0.8036480404042851,0.6925469977927955,Yes,Yes
94,BANGLADESH LAMPS PLC.,2024,-13.4,0,0.0,0,51.12,0.0,-134.35,0,"5%C,5%B",0.38,5.0,5.0,-12.73,48.564,125.00000000000001,0.8036480404042851,0.6925469977927955,Yes,Yes
95,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2020,2.32,0,0.0,0,20.17,0.0,102.62,0,15%C,2.04,15.0,0.0,2.32,20.17,73.52941176470587,-0.47248950808600143,-0.6217355198716646,No,No
96,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2021,3.23,0,0.0,0,21.85,0.0,143.03,0,18%C,1.32,18.0,0.0,3.23,21.85,136.36363636363635,-0.47248950808600143,-0.6217355198716646,No,No
97,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2022,4.0,0,0.0,0,23.8,0.0,176.78,0,20%C,3.45,20.0,0.0,4.0,23.8,57.971014492753625,-0.47248950808600143,-0.6217355198716646,No,No
98,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2023,4.04,0,0.0,0,26.28,0.0,178.79,0,20%C,3.5,20.0,0.0,4.04,26.28,57.14285714285714,-0.47248950808600143,-0.6217355198716646,No,No
99,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2024,4.19,0,0.0,0,28.45,0.0,185.34,0,20%C,4.59,20.0,0.0,4.19,28.45,43.57298474945534,-0.47248950808600143,-0.6217355198716646,No,No
100,BANGLADESH SHIPPING CORPORATION,2020,2.72,0,0.0,0,56.03,0.0,414.68,0,10%C,2.62,10.0,0.0,2.72,56.03,38.167938931297705,0.9689518404182266,0.7480895815236314,Yes,Yes
101,BANGLADESH SHIPPING CORPORATION,2021,4.72,0,0.0,0,60.28,0.0,720.21,0,12%C,2.66,12.0,0.0,4.72,60.28,45.11278195488722,0.9689518404182266,0.7480895815236314,Yes,Yes
102,BANGLADESH SHIPPING CORPORATION,2022,14.8,0,0.0,0,72.52,0.0,2258.02,0,20%C,1.71,20.0,0.0,14.8,72.52,116.95906432748538,0.9689518404182266,0.7480895815236314,Yes,Yes
103,BANGLADESH SHIPPING CORPORATION,2023,16.15,0,0.0,0,86.67,0.0,2462.92,0,25%C,1.98,25.0,0.0,16.15,86.67,126.26262626262626,0.9689518404182266,0.7480895815236314,Yes,Yes
104,BANGLADESH SHIPPING CORPORATION,2024,16.37,0,0.0,0,101.97,0.0,2496.9,0,25%C,2.44,25.0,0.0,16.37,101.97,102.45901639344261,0.9689518404182266,0.7480895815236314,Yes,Yes
105,BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2020,3.9,0,0.0,0,99.89,0.0,921.84,0,15%C,2.8,15.0,0.0,3.9,99.89,53.57142857142857,0.6136492919148014,0.8810147643535896,Yes,Yes
106,BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2021,18.96,0,16.65,0,127.56,0.0,4970.36,0,50%C,5.77,50.0,0.0,18.96,127.56,86.65511265164645,0.6136492919148014,0.8810147643535896,Yes,Yes
107,BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2022,10.34,0,0.0,0,134.29,0.0,3088.28,0,35%C,3.55,35.0,0.0,10.34,134.29,98.59154929577466,0.6136492919148014,0.8810147643535896,Yes,Yes
108,BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2023,9.76,0,0.0,0,140.46,0.0,2913.37,0,25%C,2.76,25.0,0.0,9.76,140.46,90.57971014492753,0.6136492919148014,0.8810147643535896,Yes,Yes
109,BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2024,14.48,0,0.0,0,150.06,0.0,4323.29,0,35%C,3.86,35.0,0.0,14.48,150.06,90.67357512953367,0.6136492919148014,0.8810147643535896,Yes,Yes
110,BANK ASIA PLC.,2020,1.74,0,0.0,0,23.34,0.0,2024.49,0,10%C,5.49,10.0,0.0,1.74,23.34,18.21493624772313,0.4660737327870437,-0.1476077280610986,Yes,No
111,BANK ASIA PLC.,2021,2.34,0,0.0,0,23.33,0.0,2728.27,0,15%C,6.88,15.0,0.0,2.34,23.33,21.802325581395348,0.4660737327870437,-0.1476077280610986,Yes,No
112,BANK ASIA PLC.,2022,2.61,0,0.0,0,24.41,0.0,3045.87,0,15%C,7.43,15.0,0.0,2.61,24.41,20.188425302826378,0.4660737327870437,-0.1476077280610986,Yes,No
113,BANK ASIA PLC.,2023,1.79,0,0.0,0,25.22,0.0,2088.6,0,15%C,7.32,15.0,0.0,1.79,25.22,20.491803278688526,0.4660737327870437,-0.1476077280610986,Yes,No
114,BANK ASIA PLC.,2024,2.14,0,0.0,0,27.28,0.0,2498.92,0,"10%C,10%B",5.81,10.0,10.0,1.9260000000000002,24.552,15.490533562822723,0.4660737327870437,-0.1476077280610986,Yes,No
115,BARAKA POWER LIMITED,2020,2.58,0,0.0,0,20.0,0.0,567.06,0,"8%C,7%B",4.04,8.0,7.0,2.3994,18.6,18.415841584158414,0.5347926300822685,-0.09178609870216262,Yes,No
116,BARAKA POWER LIMITED,2021,2.96,0,0.0,0,20.91,0.0,697.31,0,10%C,3.75,10.0,0.0,2.96,20.91,26.666666666666668,0.5347926300822685,-0.09178609870216262,Yes,No
117,BARAKA POWER LIMITED,2022,2.13,0,0.0,0,22.43,0.0,501.36,0,10%C,4.22,10.0,0.0,2.13,22.43,23.696682464454977,0.5347926300822685,-0.09178609870216262,Yes,No
118,BARAKA POWER LIMITED,2023,0.56,0,0.0,0,21.99,0.0,131.56,0,5%C,2.34,5.0,0.0,0.56,21.99,21.36752136752137,0.5347926300822685,-0.09178609870216262,Yes,No
119,BARAKA POWER LIMITED,2024,1.12,0,0.0,0,22.61,0.0,264.8,0,3.5%C,2.85,3.5,0.0,1.12,22.61,12.280701754385966,0.5347926300822685,-0.09178609870216262,Yes,No
120,BATA SHOE COMPANY (BD) LIMITED,2020,-96.94,0,0.0,0,267.94,0.0,-1326.2,0,25%C,0.36,25.0,0.0,-96.94,267.94,694.4444444444445,0.936287519553434,-0.5697136152803425,Yes,No
121,BATA SHOE COMPANY (BD) LIMITED,2021,-5.01,0,0.0,0,252.33,0.0,-68.48,0,100%C,1.03,100.0,0.0,-5.01,252.33,970.8737864077669,0.936287519553434,-0.5697136152803425,Yes,No
122,BATA SHOE COMPANY (BD) LIMITED,2022,29.98,0,0.0,0,252.16,0.0,410.11,0,365%C,3.83,365.0,0.0,29.98,252.16,953.0026109660573,0.936287519553434,-0.5697136152803425,Yes,No
123,BATA SHOE COMPANY (BD) LIMITED,2023,29.31,0,0.0,0,237.93,0.0,400.99,0,435%C,4.46,435.0,0.0,29.31,237.93,975.3363228699552,0.936287519553434,-0.5697136152803425,Yes,No
