Name,Performance Year,Basic EPS Based On Continuous operations,Basic EPS Based On Including Extra-Ordinary Income,Basic EPS (restated) Based On Continuous operations,Basic EPS (restated) Based On Including Extra-Ordinary Income,Net Asset Value Per Share,Restated Net Asset Value Per Share,Net Profit After Tax Continuous operations (mn),Net Profit After Tax Including Extra-Ordinary Income (mn),% Dividend,% Dividend Yield
ASIA INSURANCE PLC.,2020,2.34,0,0,0,24.52,0,110.36,0,12%C,1.11
ASIA INSURANCE PLC.,2019,1.6,0,0,0,19.5,0,75.54,0,10%C,3.98
ASIA PACIFIC GENERAL INSURANCE CO. LTD.,2023,2.07,0,0,0,23.1,0,87.57,0,12%C,2.4
ASIA PACIFIC GENERAL INSURANCE CO. LTD.,2022,2.37,0,0,0,22.53,0,100.16,0,15%C,3.61
ASIA PACIFIC GENERAL INSURANCE CO. LTD.,2021,2.33,0,0,0,21.96,0,98.69,0,18%C,2.63
ASIA PACIFIC GENERAL INSURANCE CO. LTD.,2020,1.97,0,0,0,20.63,0,83.23,0,10%C,2.35
ASIA PACIFIC GENERAL INSURANCE CO. LTD.,2019,1.74,0,0,0,19.67,0,73.83,0,10%C,4.02
ASIAN TIGER SANDHANI LIFE GROWTH FUND,2024,-1.95,0,0,0,8.31,0,-120.19,0,,0
ASIAN TIGER SANDHANI LIFE GROWTH FUND,2023,-0.23,0,0,0,10.25,0,-14.21,0,,0
ASIAN TIGER SANDHANI LIFE GROWTH FUND,2022,0.5,0,0,0,10.98,0,30.93,0,5%C,5.05
ASIAN TIGER SANDHANI LIFE GROWTH FUND,2021,1.93,0,0,0,12.41,0,119.52,0,15%C,13.39
ASIAN TIGER SANDHANI LIFE GROWTH FUND,2020,-1.69,0,0,0,10.06,0,-104.32,0,,0
ASIATIC LABORATORIES LIMITED,2024,2.82,0,0,0,52.58,0,278.48,0,10%C,2.02
ASIATIC LABORATORIES LIMITED,2023,2.19,0,0,0,64.48,0,205.85,0,,0
ASIATIC LABORATORIES LIMITED,2022,3.06,0,2.19,0,59.68,50.6,268.56,0,,0
ASSOCIATED OXYGEN LIMITED,2022,1.67,0,0,0,18.56,0,183.45,0,10%C,2.04
ASSOCIATED OXYGEN LIMITED,2021,2.19,0,0,0,18.29,0,215.08,0,"5%C,7%B",1.02
ASSOCIATED OXYGEN LIMITED,2020,1.87,0,1.58,0,19.25,16.21,149.83,0,"2%C,8%B",0
ASSOCIATED OXYGEN LIMITED,2019,1.51,0,1.15,0,17.37,16.21,109.4,0,,0
ASSOCIATED OXYGEN LIMITED,2018,3.26,0,0,0,58.07,0,107.5,0,,0
AZIZ PIPES LIMITED,2024,-6.03,0,0,0,-37.28,0,-32.25,0,,0
AZIZ PIPES LIMITED,2023,-6.87,0,0,0,-26.73,0,-36.71,0,,0
AZIZ PIPES LIMITED,2022,-4.54,0,0,0,-19.6,0,-24.29,0,,0
AZIZ PIPES LIMITED,2021,-0.82,0,0,0,-15.09,0,-4.39,0,,0
AZIZ PIPES LIMITED,2020,0.26,0,0,0,-14.22,0,1.39,0,1%C,0.1
BANGAS LIMITED,2024,0.31,0,0,0,21.01,0,2.36,0,4%C,0.34
BANGAS LIMITED,2023,0.29,0,0,0,20.96,0,2.21,0,3%C,0.19
BANGAS LIMITED,2022,0.26,0,0,0,20.88,0,1.96,0,3%C,0.22
BANGAS LIMITED,2021,0.23,0,0,0,21.02,0,1.74,0,4%C,0.34
BANGAS LIMITED,2020,0.6,0,0,0,21.29,0,4.6,0,5%C,0.43
BANGLADESH AUTOCARS LIMITED,2024,0.15,0,0,0,7.41,0,0.65,0,2%C,0
BANGLADESH AUTOCARS LIMITED,2023,0.52,0,0,0,7.3,0,2.24,0,2%C,0
BANGLADESH AUTOCARS LIMITED,2022,0.49,0,0,0,7.06,0,2.12,0,4%C,0.29
BANGLADESH AUTOCARS LIMITED,2021,0.37,0,0,0,6.85,0,1.58,0,4%C,0
BANGLADESH AUTOCARS LIMITED,2020,0.34,0,0,0,6.79,0,1.49,0,3%C,0
BANGLADESH BUILDING SYSTEMS PLC.,2024,0.07,0,0,0,12.92,0,11.98,0,0.50%C,0.35
BANGLADESH BUILDING SYSTEMS PLC.,2023,-1.01,0,0,0,16.7,0,-165.16,0,,0
BANGLADESH BUILDING SYSTEMS PLC.,2022,1.65,0,0,0,15.7,0,268.59,0,3.5%C,1.48
BANGLADESH BUILDING SYSTEMS PLC.,2021,-0.22,0,0,0,14.26,0,-36.12,0,2%C,1.13
BANGLADESH BUILDING SYSTEMS PLC.,2020,0.7,0,0,0,15.7,0,108.74,0,"5%C,5%B",3.09
BANGLADESH FINANCE LIMITED,2024,-41.61,0,0,0,-30.05,0,-7833.16,0,,0
BANGLADESH FINANCE LIMITED,2023,-5.6,0,0,0,11.53,0,-1053.82,0,-,0
BANGLADESH FINANCE LIMITED,2022,1.25,0,0,0,17.41,0,236.02,0,10%C,2.27
BANGLADESH FINANCE LIMITED,2021,1.44,0,0,0,17.73,0,255.84,0,"6%C,6%B",1.1
BANGLADESH FINANCE LIMITED,2020,1.8,0,0,0,17.86,0,300.91,0,"6%C,6%B",2.06
BANGLADESH GENERAL INSURANCE COMPANY PLC.,2024,1.4,0,0,0,19.25,0,75.43,0,10%C,2.99
BANGLADESH GENERAL INSURANCE COMPANY PLC.,2023,1.27,0,0,0,19.55,0,68.41,0,10%C,1.92
BANGLADESH GENERAL INSURANCE COMPANY PLC.,2022,1.53,0,0,0,19.17,0,82.44,0,12%C,2.03
BANGLADESH GENERAL INSURANCE COMPANY PLC.,2021,1.92,0,0,0,19.63,0,103.64,0,12.5%C,2.31
BANGLADESH GENERAL INSURANCE COMPANY PLC.,2020,1.25,0,0,0,19.38,0,67.77,0,12%C,2.82
BANGLADESH INDUSTRIAL FINANCE CO. LIMITED,2021,-9.78,0,0,0,-106.83,0,-985.05,0,,0
BANGLADESH INDUSTRIAL FINANCE CO. LIMITED,2020,-8.1,0,0,0,-102.37,0,-815.26,0,,0
BANGLADESH INDUSTRIAL FINANCE CO. LIMITED,2017,-69.55,0,0,0,-66.4,0,-7001.91,0,,0
BANGLADESH INDUSTRIAL FINANCE CO. LIMITED,2016,-6.77,0,0,0,3.15,0,-681.44,0,-,0
BANGLADESH INDUSTRIAL FINANCE CO. LIMITED,2015,-6.22,0,0,0,9.91,0,-625.79,0,-,0
BANGLADESH LAMPS PLC.,2024,-13.4,0,0,0,51.12,0,-134.35,0,"5%C,5%B",0.38
BANGLADESH LAMPS PLC.,2023,1.1,0,0,0,82.91,0,10.99,0,10%C,0.39
BANGLADESH LAMPS PLC.,2022,8.78,0,0,0,90.99,0,82.27,0,"20%C,7%B",0.75
BANGLADESH LAMPS PLC.,2021,5.1,0,0,0,95.16,0,47.76,0,20%C,1.16
BANGLADESH LAMPS PLC.,2020,-9.88,0,0,0,59.98,0,-92.54,0,10%C,0.89
BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2024,4.19,0,0,0,28.45,0,185.34,0,20%C,4.59
BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2023,4.04,0,0,0,26.28,0,178.79,0,20%C,3.5
BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2022,4,0,0,0,23.8,0,176.78,0,20%C,3.45
BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2021,3.23,0,0,0,21.85,0,143.03,0,18%C,1.32
BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,2020,2.32,0,0,0,20.17,0,102.62,0,15%C,2.04
BANGLADESH SHIPPING CORPORATION,2024,16.37,0,0,0,101.97,0,2496.9,0,25%C,2.44
BANGLADESH SHIPPING CORPORATION,2023,16.15,0,0,0,86.67,0,2462.92,0,25%C,1.98
BANGLADESH SHIPPING CORPORATION,2022,14.8,0,0,0,72.52,0,2258.02,0,20%C,1.71
BANGLADESH SHIPPING CORPORATION,2021,4.72,0,0,0,60.28,0,720.21,0,12%C,2.66
BANGLADESH SHIPPING CORPORATION,2020,2.72,0,0,0,56.03,0,414.68,0,10%C,2.62
BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2024,14.48,0,0,0,150.06,0,4323.29,0,35%C,3.86
BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2023,9.76,0,0,0,140.46,0,2913.37,0,25%C,2.76
BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2022,10.34,0,0,0,134.29,0,3088.28,0,35%C,3.55
BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2021,18.96,0,16.65,0,127.56,0,4970.36,0,50%C,5.77
BANGLADESH STEEL RE-ROLLING MILLS LIMITED,2020,3.9,0,0,0,99.89,0,921.84,0,15%C,2.8
BANGLADESH SUBMARINE CABLES PLC,2024,11.1,0,0,0,93.06,0,1829.92,0,40%C,3.38
BANGLADESH WELDING ELECTRODES LIMITED,2019,-0.08,0,0,0,11.61,0,-3.55,0,1%B,0
BANGLADESH WELDING ELECTRODES LIMITED,2018,-0.36,0,0,0,11.69,0,-15.42,0,,0
BANGLADESH WELDING ELECTRODES LIMITED,2017,1.95,0,0,0,12.04,0,83.86,0,-,0
BANGLADESH WELDING ELECTRODES LIMITED,2016,-0.91,0,0,0,0,0,-39.1,0,-,0
BANGLADESH WELDING ELECTRODES LIMITED,2016,-3.5,0,0,0,12.87,0,-150.4,0,-,0
BANK ASIA PLC.,2024,2.14,0,0,0,27.28,0,2498.92,0,"10%C,10%B",5.81
BANK ASIA PLC.,2023,1.79,0,0,0,25.22,0,2088.6,0,15%C,7.32
BANK ASIA PLC.,2022,2.61,0,0,0,24.41,0,3045.87,0,15%C,7.43
BANK ASIA PLC.,2021,2.34,0,0,0,23.33,0,2728.27,0,15%C,6.88
BANK ASIA PLC.,2020,1.74,0,0,0,23.34,0,2024.49,0,10%C,5.49
BARAKA PATENGA POWER LTD.,2024,0.35,0,0,0,26.52,0,59.79,0,2%C,1.46
BARAKA PATENGA POWER LTD.,2023,-1.06,0,0,0,26.81,0,-183.55,0,5%C,1.69
BARAKA PATENGA POWER LTD.,2022,1.25,0,0,0,28.92,0,215.28,0,10%C,3.04
BARAKA PATENGA POWER LTD.,2021,3.71,0,0,0,16.34,0,641.77,0,12.5%C,0
BARAKA PATENGA POWER LTD.,2020,4.37,0,2.5,0,23,26.2,433.17,0,,0
BARAKA POWER LIMITED,2024,1.12,0,0,0,22.61,0,264.8,0,3.5%C,2.85
BARAKA POWER LIMITED,2023,0.56,0,0,0,21.99,0,131.56,0,5%C,2.34
BARAKA POWER LIMITED,2022,2.13,0,0,0,22.43,0,501.36,0,10%C,4.22
BARAKA POWER LIMITED,2021,2.96,0,0,0,20.91,0,697.31,0,10%C,3.75
BARAKA POWER LIMITED,2020,2.58,0,0,0,20,0,567.06,0,"8%C,7%B",4.04
BASHUNDHARA PAPER MILLS LTD.,2024,1.1,0,0,0,77.06,0,191.5,0,,0
BASHUNDHARA PAPER MILLS LTD.,2023,2.62,0,0,0,77.54,0,455.01,0,11%C,1.36
BASHUNDHARA PAPER MILLS LTD.,2022,2.92,0,0,0,74.31,0,507.85,0,10%C,1.85
BASHUNDHARA PAPER MILLS LTD.,2021,2.37,0,0,0,45.81,0,411.19,0,12%C,2.7
BASHUNDHARA PAPER MILLS LTD.,2020,1.64,0,0,0,43.55,0,285.84,0,10%C,2.51
BATA SHOE COMPANY (BD) LIMITED,2024,21.62,0,0,0,220.22,0,295.74,0,445%C,4.84
BATA SHOE COMPANY (BD) LIMITED,2023,29.31,0,0,0,237.93,0,400.99,0,435%C,4.46
BATA SHOE COMPANY (BD) LIMITED,2022,29.98,0,0,0,252.16,0,410.11,0,365%C,3.83
BATA SHOE COMPANY (BD) LIMITED,2021,-5.01,0,0,0,252.33,0,-68.48,0,100%C,1.03
BATA SHOE COMPANY (BD) LIMITED,2020,-96.94,0,0,0,267.94,0,-1326.2,0,25%C,0.36
